The 30-year bond US30YT = RR firmed 31 / 32 , taking its yield to 4.16 percent -- another record low -- from 4.22 percent .
In Canada , the booming dollar will be in focus again as it tries to stay above the 75 cent ( U.S . ) mark .
In the year-ago quarter , the steelmaker recorded a profit of $ 16.2 million , or 15 cents per share , on sales of $ 1.14 billion .
Another big gainer was Rambus Inc . ( nasdaq : RMBS - news - people ) , which shot 32 percent higher .
&quot; The figures are becoming catastrophic , &quot; said Dr. Patrick Pelloux , the president of the association of emergency room physicians .
the united states government has accused the iranian government of trying to develop nuclear weapons under the cover of a civilian nuclear program .
The weakness exists in the way that VBA looks at the properties of documents passed to it when the document is opened by a host application .
Instead , Weida decided that Meester &apos;s case on charges of rape , sodomy , indecent assault and providing alcohol to minors should proceed to a court-martial .
But the prime minister told the BBC he wasn &apos;t bothered by polls and that he would continue to do what he believed to be right .
The Portuguese weather service said Europe &apos;s heatwave was caused by a mass of hot , dry air moving from the southeast .
That triggered a 47-hour police standoff that inconvenienced thousands of commuters , as traffic backed up in Downtown Washington and northern Virginia .
The benchmark 10-year note US10YT = RR lost 11 / 32 in price , taking its yield to 3.21 percent from 3.17 percent late on Monday .
egypt and jordan have signed the nuclear nonproliferation treaty and have long called for a middle east free of weapons of mass destruction .
the south african government imposed a ban that prohibits the recruitment of people inside or outside of south africa for mercenary or foreign military assistance .
Kroger Co . , which owns Ralphs , and Albertsons Inc. bargain jointly with Safeway and locked out their union workers the next day .
in july 2006 jordanian prime minister maaruf bakhit stated that-- raghdad hussein and family were living under the protection of king abdullah ii .
Dubbed Project Mad Hatter , the Linux-based desktop is being promoted by Sun as a more secure and less expensive alternative to Windows .
Chera Larkins , 32 , of Manhattan , charged with three sham marriages , is also charged with perjury and filing a false instrument .
He said the FDA was hoping Congress and the courts would bring clarity to the situation and some financial relief to consumers .
the riyadh-based naif arab academy for security sciences said in a statement that it was running a two-week workshop for 50 anti-terrorism experts .
The euro soared to US $ 1.1914 in Asian trading , before slipping back slightly to US $ 1.1895 as trading opened in Europe .
&quot; They drive around in their cars , while people are being killed 500 metres away , &quot; he said on Sunday .
On May 1 , he crawled through a narrow , winding canyon , rappelled down a 60-foot cliff and walked some six miles down the canyon .
Richard Grasso quit as chairman last week after losing the support of his board amid public furor over his $ 140 million pay package .
The results were released at Tuesday &apos;s meeting in Seattle of the American Thoracic Society and will be published in Thursday &apos;s New England Journal of Medicine .
Stripping out the extraordinary items , fourth-quarter earnings were 64 cents a share compared to 25 cents a share in the prior year .
It seemed like an isolated incident , &quot; said Ariel Dean of Washington D.C . , who earned a degree in political science .
The Ministry of Defence is facing a 20m compensation claim from hundreds of Kenyan women who claim they were raped by British soldiers .
Blair &apos;s government included the charge that Saddam sought uranium from Niger in a September 2002 dossier setting out the case for military action .
The men were immediately flown to nearby Botswana on a chartered Air Malawi flight , Malawi intelligence officials said on condition of anonymity .
Apple Computer &apos;s new online music service sold more than 1 million songs during its first week of operation , the company said Monday .
The U.S . Conference Board said its latest measure of business confidence hit 60 after falling to 53 in its first quarter survey .
Smugglers in a van chased down a pickup and SUV carrying other smugglers and illegal immigrants , said Pinal County Sheriff Roger Vanderpool .
The man , who entered the post office in Lakeside shortly before 3 p.m . , gave up to deputies about 6 : 30 p.m .
But White House spokesman Ari Fleischer said yesterday : &quot; The steps the Iranians claim to have taken in terms of capturing al-Qa &apos;ida are insufficient . &quot;
Dotson , 21 , was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him .
Egyptologists cast doubt Tuesday on an expedition &apos;s claim that it may have found the mummy of Queen Nefertiti , one of the best-known ancient Egyptians .
Shares of San Diego-based Jack In The Box closed at $ 21.49 , up 78 cents , or 3.8 percent , on the New York Stock Exchange .
The witness , a 27-year-old Kosovan parking attendant with criminal convictions for dishonesty , was paid 10,000 by the News of the World .
This led to the recovery of the 270-kilogram Cancuen altar , announced on Wednesday by the Vanderbilt University in Nashville and the National Geographic Society .
